date,USD,EUR,RUB,KGS,GBP,CNY,GLD,CHF,HKD,GEL,AED,INR,CAD,MYR,PLN,THB,TRY,UZS,UAH,CZK,ILS,KRW,JPY
2022-07-22,484.56,494.98,7.673999999999999,6.0,625.0,67.90000000000003,26480.0,482.0,54.0,180.0,127.0,4.799999999999998,335.0,98.0,113.0,15.0,39.0,4.400000000000002,16.699999999999992,18.699999999999992,125.0,36.5,3.1
2022-07-23,483.3611111111111,493.0,7.5,6.0,625.0,67.89999999999999,26600.0,482.0,54.0,180.0,127.0,4.8,335.0,98.0,113.0,15.0,39.0,4.3999999999999995,16.7,18.7,125.0,36.5,3.1000000000000005
2022-07-24,482.25,492.25,7.533333333333334,6.0,625.0,67.89999999999999,26600.0,482.0,54.0,180.0,127.0,4.8,335.0,98.0,113.0,15.0,39.0,4.3999999999999995,16.7,18.7,125.0,36.5,3.1
2022-07-25,479.9,488.62,7.492000000000001,6.0,625.0,67.90000000000003,26640.0,485.64,54.0,180.0,127.0,4.799999999999998,335.0,98.0,113.0,15.0,39.0,4.400000000000002,16.699999999999992,18.699999999999992,125.0,36.5,3.1
2022-07-26,480.8958333333333,492.0625,7.641666666666666,6.011458333333333,625.0,67.90000000000002,26666.666666666668,495.0,54.0,180.0,127.0,4.799999999999998,335.0,98.0,113.0,15.0,39.0,4.400000000000001,16.699999999999992,18.699999999999992,125.0,36.5,3.1
2022-07-27,481.42105263157896,489.1578947368421,7.463157894736841,6.025000000000002,625.0,67.9,26600.0,495.0,54.0,180.0,127.0,4.799999999999999,335.0,98.0,113.0,15.0,39.0,4.4,16.699999999999996,18.699999999999996,125.0,36.5,3.100000000000001
2022-07-28,480.7258064516129,490.5967741935484,7.485483870967744,5.999193548387098,625.0,67.90000000000003,26690.322580645163,495.0,54.0,180.0,127.0,4.800000000000001,335.0,98.0,113.0,15.0,39.0,4.400000000000002,16.699999999999996,18.7,125.0,36.5,3.0999999999999988
2022-07-29,478.7083333333333,490.2916666666667,7.4375000000000036,5.9708333333333306,625.0,67.90000000000002,26800.0,495.0,54.0,180.0,127.0,4.799999999999998,335.0,98.0,113.0,15.0,39.0,4.400000000000001,16.699999999999992,18.699999999999992,125.0,36.5,3.1
2022-07-30,479.0,485.6666666666667,7.3999999999999995,5.95,625.0,67.89999999999999,26800.0,495.0,54.0,180.0,123.0,4.8,341.6666666666667,98.0,113.0,15.0,39.0,4.3999999999999995,16.7,18.7,125.0,37.333333333333336,3.1
2022-07-31,479.0,487.0,7.35,5.95,625.0,67.9,26700.0,495.0,54.0,180.0,123.0,4.8,345.0,98.0,113.0,15.0,39.0,4.4,16.7,18.7,125.0,37.5,3.1
2022-02-01,435.19583333333327,489.0833333333332,5.6802083333333355,5.25,588.3333333333334,67.73333333333336,25118.75,473.0,52.0,141.0,115.0,6.3,345.0,96.0,109.0,14.100000000000001,34.0,3.9500000000000015,16.100000000000005,19.10000000000001,125.0,37.5,3.599999999999999
2022-02-02,435.3600000000001,490.8479999999999,5.704200000000001,5.25,591.84,67.5,25150.0,476.0,52.0,141.0,115.0,6.3,345.0,96.0,109.0,14.100000000000001,34.0,3.9500000000000015,16.10000000000001,19.10000000000001,125.0,37.5,3.5999999999999988
2022-02-03,435.5047619047617,491.5523809523809,5.73142857142857,5.25,593.8095238095239,67.5,25150.0,477.7142857142857,52.0,141.0,115.0,6.299999999999998,345.0,96.0,109.0,14.099999999999998,34.0,3.9500000000000015,16.100000000000005,19.100000000000005,125.0,37.5,3.5999999999999996
2022-02-04,434.6766666666666,496.12500000000006,5.734166666666665,5.25,595.2666666666667,67.4066666666667,25150.0,478.0,52.0,141.0,115.0,6.300000000000002,345.0,96.0,109.0,14.100000000000005,34.0,3.950000000000002,16.10000000000001,19.100000000000012,125.0,37.5,3.5999999999999983
2022-02-05,433.92500000000007,495.59999999999997,5.7543750000000005,5.25,596.0,67.39999999999999,25150.0,478.0,52.0,141.0,113.75,6.225,343.875,96.0,109.0,14.099999999999998,35.5,3.9499999999999997,16.099999999999998,19.099999999999998,125.0,36.5,3.6000000000000005
2022-02-07,432.9680000000001,495.0079999999998,5.753799999999999,5.25,592.32,67.40000000000003,25190.0,474.64,52.0,141.0,113.0,6.0,342.0,96.0,109.0,14.100000000000001,36.0,3.9500000000000015,16.10000000000001,19.10000000000001,125.0,35.5,3.5999999999999988
2022-02-08,430.5571428571428,492.48214285714266,5.753214285714287,5.25,590.0,67.17857142857146,25103.571428571428,471.07142857142856,52.0,141.0,113.0,6.0,342.0,96.0,109.0,14.100000000000005,36.0,3.950000000000002,16.10000000000001,19.100000000000012,125.0,35.5,3.5999999999999983
2022-02-09,428.4583333333333,489.40416666666664,5.748333333333331,5.25,587.4166666666666,66.79999999999997,25100.0,468.25,52.0,141.0,113.0,6.0,342.0,96.0,109.0,14.100000000000001,36.0,3.9500000000000015,16.100000000000005,19.10000000000001,125.0,35.5,3.599999999999999
2022-02-10,428.03292682926826,488.35853658536575,5.750975609756095,5.202439024390241,584.1463414634146,66.61951219512193,25100.0,466.2439024390244,52.0,141.0,113.0,6.0,342.0,96.0,109.0,14.100000000000009,36.0,3.949999999999999,16.100000000000012,19.100000000000016,125.0,35.5,3.599999999999997
2022-02-11,430.26250000000005,489.78437499999995,5.75265625,5.199999999999998,584.0,66.59999999999997,25117.1875,467.8125,52.0,141.0,113.0,6.0,342.0,96.0,109.0,14.100000000000007,36.0,3.950000000000002,16.10000000000001,19.100000000000012,125.0,35.5,3.599999999999998
